,Date,Open,High,Low,Close,Adj Close,Volume
0,,,,,,,
1,"Jul 15, 2020","1,937.95","1,978.80","1,911.40","1,908.40","1,908.40","44,649,543"
2,"Jul 14, 2020","1,934.00","1,941.70","1,887.30","1,917.00","1,917.00","31,073,305"
3,"Jul 13, 2020","1,903.35","1,947.70","1,900.00","1,935.00","1,935.00","32,124,262"
4,"Jul 10, 2020","1,828.50","1,884.60","1,824.25","1,878.05","1,878.05","20,195,218"
5,"Jul 09, 2020","1,809.00","1,835.00","1,786.25","1,824.25","1,824.25","16,807,336"
6,"Jul 08, 2020","1,824.05","1,834.95","1,790.00","1,798.00","1,798.00","12,093,186"
7,"Jul 07, 2020","1,860.00","1,864.35","1,806.30","1,823.45","1,823.45","16,239,990"
8,"Jul 06, 2020","1,805.00","1,858.00","1,792.10","1,851.80","1,851.80","21,697,962"
9,"Jul 03, 2020","1,779.80","1,793.00","1,768.00","1,787.90","1,787.90","13,583,909"
10,"Jul 02, 2020","1,743.00","1,767.60","1,735.05","1,760.35","1,760.35","13,286,365"
11,"Jul 02, 2020",6.5 Dividend,,,,,
12,"Jul 01, 2020","1,720.00","1,749.00","1,708.05","1,737.60","1,731.10","13,136,179"
13,"Jun 30, 2020","1,737.00","1,741.00","1,695.55","1,704.10","1,697.73","13,972,563"
14,"Jun 29, 2020","1,728.05","1,739.75","1,715.55","1,723.15","1,716.70","11,824,524"
15,"Jun 26, 2020","1,728.80","1,752.00","1,717.00","1,741.65","1,735.13","14,270,458"
16,"Jun 25, 2020","1,727.00","1,749.00","1,713.05","1,717.90","1,711.47","18,312,025"
17,"Jun 24, 2020","1,735.90","1,772.70","1,711.70","1,727.85","1,721.39","23,807,033"
18,"Jun 23, 2020","1,750.00","1,763.75","1,716.10","1,720.90","1,714.46","17,519,493"
19,"Jun 22, 2020","1,773.40","1,804.20","1,735.00","1,746.15","1,739.62","27,781,693"
20,"Jun 19, 2020","1,670.00","1,788.80","1,662.00","1,759.40","1,752.82","48,828,609"
21,"Jun 18, 2020","1,607.00","1,665.00","1,605.60","1,655.90","1,649.71","18,677,617"
22,"Jun 17, 2020","1,608.25","1,635.45","1,602.10","1,615.35","1,609.31","19,282,411"
23,"Jun 16, 2020","1,643.00","1,648.55","1,585.30","1,617.70","1,611.65","23,622,794"
24,"Jun 15, 2020","1,565.00","1,626.95","1,561.10","1,614.55","1,608.51","24,509,058"
25,"Jun 12, 2020","1,500.00","1,593.00","1,497.00","1,588.80","1,582.86","17,790,311"
26,"Jun 11, 2020","1,566.00","1,567.95","1,531.00","1,537.70","1,531.95","9,408,046"
27,"Jun 10, 2020","1,543.10","1,579.55","1,540.05","1,572.15","1,566.27","10,214,213"
28,"Jun 09, 2020","1,560.30","1,583.00","1,533.00","1,537.15","1,531.40","11,933,076"
29,"Jun 08, 2020","1,618.40","1,618.40","1,565.00","1,569.50","1,563.63","14,497,996"
30,"Jun 05, 2020","1,595.00","1,618.00","1,573.70","1,581.70","1,575.78","15,264,885"
31,"Jun 04, 2020","1,544.00","1,589.50","1,541.00","1,579.80","1,573.89","15,784,379"
32,"Jun 03, 2020","1,545.00","1,560.00","1,533.35","1,541.65","1,535.88","11,713,461"
33,"Jun 02, 2020","1,526.00","1,540.00","1,520.80","1,535.70","1,529.96","10,224,049"
34,"Jun 01, 2020","1,480.00","1,538.35","1,475.95","1,520.35","1,514.66","18,434,012"
35,"May 29, 2020","1,468.00","1,472.00","1,452.65","1,464.40","1,458.92","18,470,390"
36,"May 28, 2020","1,455.00","1,479.75","1,449.00","1,472.25","1,466.74","18,518,271"
37,"May 27, 2020","1,431.00","1,454.00","1,412.00","1,445.55","1,440.14","16,460,756"
38,"May 26, 2020","1,448.15","1,449.70","1,416.30","1,424.05","1,418.72","15,329,472"
39,"May 22, 2020","1,451.80","1,458.00","1,426.50","1,431.55","1,426.19","17,458,065"
40,"May 21, 2020","1,435.00","1,461.45","1,425.00","1,441.25","1,435.86","18,076,017"
41,"May 20, 2020","1,410.00","1,446.85","1,393.00","1,433.70","1,428.34","25,530,626"
42,"May 19, 2020","1,457.00","1,461.70","1,403.25","1,408.90","1,403.63","19,528,760"
43,"May 18, 2020","1,470.00","1,482.00","1,428.00","1,440.75","1,435.36","28,980,385"
44,"May 15, 2020","1,444.00","1,466.70","1,415.10","1,459.40","1,453.94","28,683,258"
45,"May 14, 2020","1,469.00","1,496.70","1,430.05","1,435.95","1,430.58","22,736,607"
46,"May 13, 2020","1,527.00","1,527.00","1,454.00","1,496.45","1,490.85","30,657,492"
47,"May 12, 2020","1,550.11","1,553.62","1,451.24","1,465.36","1,459.88","46,465,281"
48,"May 11, 2020","1,565.16","1,599.84","1,557.54","1,561.99","1,556.15","30,959,745"
49,"May 08, 2020","1,530.49","1,565.06","1,522.67","1,547.13","1,541.34","38,887,255"
50,"May 07, 2020","1,441.34","1,499.44","1,431.43","1,492.80","1,487.22","23,087,436"
51,"May 06, 2020","1,450.25","1,471.01","1,431.93","1,447.03","1,441.62","18,685,710"
52,"May 05, 2020","1,440.05","1,465.11","1,433.61","1,446.93","1,441.52","20,723,079"
53,"May 04, 2020","1,426.48","1,451.24","1,404.14","1,421.72","1,416.40","24,670,336"
54,"Apr 30, 2020","1,440.30","1,480.91","1,424.55","1,452.23","1,446.80","32,926,121"
55,"Apr 29, 2020","1,444.90","1,453.65","1,420.00","1,426.95","1,421.61","17,141,303"
56,"Apr 28, 2020","1,450.00","1,455.45","1,392.15","1,428.15","1,422.81","35,866,256"
57,"Apr 27, 2020","1,434.00","1,475.00","1,423.00","1,429.75","1,424.40","26,736,415"
58,"Apr 24, 2020","1,350.15","1,494.95","1,347.20","1,417.00","1,411.70","61,711,199"
59,"Apr 23, 2020","1,367.35","1,385.85","1,353.30","1,370.90","1,365.77","29,928,168"
60,"Apr 22, 2020","1,320.00","1,384.90","1,300.00","1,363.60","1,358.50","65,230,035"
61,"Apr 21, 2020","1,210.00","1,252.00","1,164.00","1,237.35","1,232.72","28,057,044"
